NORD CUP 2020_2020-03-13,dnd beginner,кудрявцева ирина
NORD CUP 2020_2020-03-13,dnd beginner,кудрявцев михаил
NORD CUP 2020_2020-03-13,dnd beginner,лебедев сергей
NORD CUP 2020_2020-03-13,dnd beginner,милованов александр
NORD CUP 2020_2020-03-13,dnd beginner,кудрявцева ирина
NORD CUP 2020_2020-03-13,dnd beginner,кудрявцев михаил
NORD CUP 2020_2020-03-13,dnd beginner,лебедев сергей
NORD CUP 2020_2020-03-13,dnd beginner,милованов александр
NORD CUP 2020_2020-03-13,dnd risingstar,николаева екатерина
NORD CUP 2020_2020-03-13,dnd risingstar,кудрявцева ирина
NORD CUP 2020_2020-03-13,dnd risingstar,кудрявцев михаил
NORD CUP 2020_2020-03-13,dnd risingstar,милованов александр
NORD CUP 2020_2020-03-13,dnd risingstar,николаева екатерина
NORD CUP 2020_2020-03-13,dnd risingstar,кудрявцева ирина
NORD CUP 2020_2020-03-13,dnd risingstar,кудрявцев михаил
NORD CUP 2020_2020-03-13,dnd risingstar,милованов александр
NORD CUP 2020_2020-03-13,dnd main,арутюнян евгений
NORD CUP 2020_2020-03-13,dnd main,кудрявцева ирина
NORD CUP 2020_2020-03-13,dnd main,лебедев сергей
NORD CUP 2020_2020-03-13,dnd main,милованов александр
NORD CUP 2020_2020-03-13,dnd main,арутюнян евгений
NORD CUP 2020_2020-03-13,dnd main,кудрявцева ирина
NORD CUP 2020_2020-03-13,dnd main,лебедев сергей
NORD CUP 2020_2020-03-13,dnd main,милованов александр
NORD CUP 2020_2020-03-13,dnd star+ch,николаева екатерина
NORD CUP 2020_2020-03-13,dnd star+ch,кудрявцев михаил
NORD CUP 2020_2020-03-13,dnd star+ch,лебедев сергей
NORD CUP 2020_2020-03-13,dnd star+ch,милованов александр
NORD CUP 2020_2020-03-13,dnd star+ch,николаева екатерина
NORD CUP 2020_2020-03-13,dnd star+ch,кудрявцев михаил
NORD CUP 2020_2020-03-13,dnd star+ch,лебедев сергей
NORD CUP 2020_2020-03-13,dnd star+ch,милованов александр
Rock'n'Dance CUP 2020_2020-03-22,dnd beginner 0,болотина анна
Rock'n'Dance CUP 2020_2020-03-22,dnd beginner 0,могучих иван
Rock'n'Dance CUP 2020_2020-03-22,dnd beginner 0,болотина анна
Rock'n'Dance CUP 2020_2020-03-22,dnd beginner 0,могучих иван
Rock'n'Dance CUP 2020_2020-03-22,dnd beginner,болотина анна
Rock'n'Dance CUP 2020_2020-03-22,dnd beginner,могучих иван
Rock'n'Dance CUP 2020_2020-03-22,dnd beginner,болотина анна
Rock'n'Dance CUP 2020_2020-03-22,dnd beginner,могучих иван
